Program,Activity,ProjectLead,ProjectTitle,City,State,Latitude,Longitude,DOE Project Web Page,Concise Description,Funding Type,Status
Emerging Technologies,R&D - Building Energy Modeling,Lawrence Berkeley National Laboratory,Radiance,Berkeley,CA,37.871593,-122.272747,https://www.energy.gov/eere/buildings/downloads/radiance,"Radiance is a free and open-source ray-tracing engine that is used extensively by engineering firms for innovative lighting, solar control, and daylighting design to improve the energy efficiency of buildings. The objective of this project is to improve the speed, accuracy, and range of modeling capabilities of Radiance, specifically with respect to annual daylighting performance of optically complex fenestration materials and systems.",Lab Award,Active
Emerging Technologies,Energy Data & Design/Decision Tools,Lawrence Berkeley National Laboratory,Advancing the Commercial Building Energy Saver to Provide Actionable Insights into Building Retrofits and to Enable Broad-Based Commercialization,Berkeley,CA,37.871593,-122.272747,https://www.energy.gov/eere/buildings/downloads/advancing-commercial-building-energy-saver-provide-actionable-insights,"Lawrence Berkeley Natioanal Laboratory (LBNL) will extend CBES Pro according to recommendations made by the Lucid team and 2030 Districts city partners. LBNL will extend CBES Pro to cover large commercial buildings including offices, hotels, hospitals, and schools. LBNL will also add a feature that allows users to optimize retrofit recommendations based on specified investment criteria.",TCF,Active
Emerging Technologies,R&D - Advanced Lighting,"OLEDWorks, LLC",Printed Anodes and Internal Extraction Layers on Flexible Glass to Create Cost-Effective High-Efficacy Bendable OLED Lighting Panels,Rochester,NY,43.16103,-77.610922,https://www.energy.gov/eere/ssl/downloads/printed-anodes-and-internal-extraction-layers-flexible-glass-create-cost,"OLEDWorks will work with a variety of suppliers (companies and universities) to demonstrate the world?s highest-efficacy bendable OLED lighting panels by co-optimizing flexible glass substrates, a variety of internal extraction layers (IELs), printable silver nanowire anodes, and multi-stack OLED structures.",Small Business Innovation Research,Active
Emerging Technologies,R&D - Advanced Lighting,Electroninks Inc.,"Microfluidic Printing of High Performance Microgrids for High Efficiency, Flexible Organic Light Emitting Diodes",Austin,TX,30.267153,-97.743061,https://www.energy.gov/eere/ssl/downloads/microfluidic-printing-high-performance-microgrids-high-efficiency-flexible,"Electroninks, in collaboration with the University of Pittsburgh, will develop a viable replacement for indium tin oxide (ITO) for use as anodes in the production of OLEDs.",Small Business Innovation Research,Active
Emerging Technologies,R&D - Advanced Lighting,Hazen Research Inc.,Low-Cost Flexible Transparent Electrodes Based on Ag?ZTOF (Zn?Sn?O?F) Amorphous Composites through Inkjet Printing,Golden,CO,39.755543,-105.2211,https://www.energy.gov/eere/ssl/downloads/low-cost-flexible-transparent-electrodes-based-ag-ztof-zn-sn-o-f-amorphous,"Hazen Research, in partnership with the National Renewable Energy Laboratory, will develop and demonstrate a low-cost transparent conductive electrode (TCE) based on silver metal?zinc tin oxyfluoride (Ag?ZTOF) amorphous composite thin films using novel metalorganic precursors that use through-inkjet printing (IJP).",Small Business Innovation Research,Active
Emerging Technologies,R&D - Advanced Lighting,Tetramer Technologies,Transparent Conductive Anodes for Solid-State Lighting,Atlanta,GA,33.748995,-84.387982,https://www.energy.gov/eere/ssl/downloads/transparent-conductive-anodes-solid-state-lighting,"Tetramer Technologies will prepare bi-layered reduced graphene oxide (rGO) films using a dispersion-by-exfoliation technique previously developed by the subcontractor, Clemson University.",Small Business Innovation Research,Active
Emerging Technologies,R&D - Advanced Lighting,"InnoSense, LLC",Nanomaterials-Enabled Transparent Conductive Film,Torrance,CA,33.835492,-118.340629,https://www.energy.gov/eere/ssl/downloads/nanomaterials-enabled-transparent-conductive-film,"InnoSense, in collaboration with the University of Virginia, proposes to develop a transparent conductive oxide (TCO) using a composite matrix of carbon nanotubes (CNTs), graphene oxide (GO), and aluminum doped zinc oxide (AZO) nanoparticles (NPs).",Small Business Innovation Research,Active
Emerging Technologies,R&D - Window & Building Envelope,Oak Ridge National Laboratory,Ultra-High R/inch VIP with New Developmental Core Material,Oak Ridge,TN,36.010356,-84.269645,https://www.energy.gov/eere/buildings/downloads/r25-polyisocyanurate-composite-insulation-material,This project is focusing on novel core material development to significantly improve perofrmance and reduce costs.,Lab Award,Active
Emerging Technologies,R&D - Building Energy Modeling,Lawrence Berkeley National Laboratory,EnergyPlus 10X,Berkeley,CA,37.871593,-122.272747,https://www.energy.gov/eere/buildings/downloads/energyplus-10x,This project will use a holistic approach to improve EnergyPlus? annual simulation run-time by a factor of 10 relative to the October 2018 9.0.0 release. Reducing EnergyPlus runtime improves user productivity in conventional design and analysis tasks and supports quick decision making on key strategies of energy efficiency for new and existing buildings.,Lab Award,Active
Emerging Technologies,Energy Data & Design/Decision Tools,Argonne National Laboratory,ASHRAE Standard 140 Maintenance and Development,Argonne,IL,41.715444,-87.983456,https://www.energy.gov/eere/buildings/downloads/ashrae-standard-140-maintenance-and-development,"This project continues BTO?s support for ASHRAE Standard 140 ?Standard Method of Test for Building Energy Simulation Computer Programs,? which aims to increase confidence in the use of building energy modeling (BEM) by creating standardized and citable test procedures for validating, diagnosing, and improving the current generation of BEM software. This project will accelerate the development and improve the accessibility of Standard 140 while adding new empirical validation test cases.",Lab Award,Active
Emerging Technologies,Energy Data & Design/Decision Tools,National Renewable Energy Laboratory,ASHRAE Standard 140 Maintenance and Development,Golden,CO,39.755543,-105.2211,https://www.energy.gov/eere/buildings/downloads/ashrae-standard-140-maintenance-and-development,"This project continues BTO?s support for ASHRAE Standard 140 ?Standard Method of Test for Building Energy Simulation Computer Programs,? which aims to increase confidence in the use of building energy modeling (BEM) by creating standardized and citable test procedures for validating, diagnosing, and improving the current generation of BEM software. This project will accelerate the development and improve the accessibility of Standard 140 while adding new empirical validation test cases.",Lab Award,Active
Residential Buildings Integration,Technology & Systems Validation,Oak Ridge National Laboratory,Field Study of Modified Atmosphere Insulation Technology for Vinyl Siding Retrofit,Oak Ridge,TN,36.010356,-84.269645,https://www.energy.gov/eere/buildings/downloads/field-study-modified-atmosphere-insulation-technology-vinyl-siding-retrofit,"The project team will continue development and field testing modified atmosphere insulation (MAI) technologies and composite siding systems comprised of MAI panels mated with vinyl and/or large-scale composite siding to verify performance, installation feasibility and automated manufacturing capabilities.",Lab Award,Active
Residential Buildings Integration,Technology & Systems Validation,National Renewable Energy Laboratory,Optimizing the Installed Performance of Residential HVAC Systems,Golden,CO,39.755543,-105.2211,https://www.energy.gov/eere/buildings/downloads/optimizing-installed-performance-residential-hvac-systems,Studies estimate that more than 65% of residential HVAC systems have been improperly installed and are estimated to use 20%-30% more energy than necessary. This project will address this issue by developing field test methods and analytical techniques to assess HVAC fault impacts and by developing a simplified commissioning method.,Lab Award,Active
Residential Buildings Integration,Technology & Systems Validation,Pacific Northwest National Laboratory,Wall Upgrades for Deep Residential Energy Renovation,Richland,WA,46.285691,-119.284462,https://www.energy.gov/eere/buildings/downloads/wall-upgrades-deep-residential-energy-renovation,"This project seeks to identify cost-effective ways to retrofit residential wall assemblies that result in durable, energy-efficient, and marketable strategies for deep energy retrofits. The project team will investigate the performance of the most promising wall insulation assemblies selected based on a literature review, an expert meeting, input from a project advisory group, thermal and hydrothermal modeling of candidate wall upgrade approaches, and a techno-economic analysis of each option. They will further investigate favorable wall insulation upgrade approaches through lab and/or field testing.",Lab Award,Active
